,Unnamed: 0,City,Zip Code,Walk Score,Transit Score,Bike Score,Population,State,Walkability,Public Transportation,Bikeability
1602,51,Glassboro,,38,0,48,18579,NJ,Car Dependent,Minimal,Somewhat Bikeable
1603,52,Morristown,,70,32,42,18411,NJ,Very Walkable,Some Transit,Somewhat Bikeable
1604,53,Point Pleasant,,49,0,52,18392,NJ,Car Dependent,Minimal,Bikeable
1605,54,Dover,,59,35,35,18157,NJ,Somewhat Walkable,Some Transit,Somewhat Bikeable
1606,55,Rutherford,7070.0,69,53,47,18061,NJ,Somewhat Walkable,Good Transit,Somewhat Bikeable
1607,56,Tinton Falls,,16,0,33,17892,NJ,Car Dependent,Minimal,Somewhat Bikeable
1608,57,Colonia,7067.0,41,27,41,17795,NJ,Car Dependent,Some Transit,Somewhat Bikeable
1609,58,Lindenwold,,44,29,48,17613,NJ,Car Dependent,Some Transit,Somewhat Bikeable
1610,59,Dumont,7628.0,58,47,47,17479,NJ,Somewhat Walkable,Some Transit,Somewhat Bikeable
1611,60,Avenel,7001.0,46,31,42,17011,NJ,Car Dependent,Some Transit,Somewhat Bikeable
1612,0,Albuquerque,87120.0,42,30,62,545852,NM,Car Dependent,Some Transit,Bikeable
1613,1,Las Cruces,,35,0,46,97618,NM,Car Dependent,Minimal,Somewhat Bikeable
1614,2,Rio Rancho,,16,0,32,87521,NM,Car Dependent,Minimal,Somewhat Bikeable
1615,3,Santa Fe,,40,0,50,67947,NM,Car Dependent,Minimal,Bikeable
1616,4,Roswell,,32,0,48,48366,NM,Car Dependent,Minimal,Somewhat Bikeable
1617,5,Farmington,,31,16,36,45877,NM,Car Dependent,Minimal,Somewhat Bikeable
1618,6,South Valley,,22,0,44,40976,NM,Car Dependent,Minimal,Somewhat Bikeable
