,School,Score,Rating,Address,Type,Grades,Total Students Enrolled,Students per teacher,District
7921,Gillette Elementary School,7/10,Above average,"625 Gillette Boulevard, San Antonio, TX, 78221",Public district,PK-5,616,17:1,Harlandale Independent School District
7922,H W Schulze Elementary School,7/10,Above average,"9131 Yett Boulevard, San Antonio, TX, 78221",Public district,PK-5,737,15:1,Harlandale Independent School District
7923,Lackland Elementary School,7/10,Above average,"2460 Kenly Avenue, San Antonio, TX, 78236",Public district,PK-5,655,14:1,Lackland Independent School District
7924,Virginia Allred Stacey Jr/Sr High School,7/10,Above average,"2460 Kewly Avenue, San Antonio, TX, 78236",Public district,6-12,398,11:1,Lackland Independent School District
7925,Olmos Elementary School,7/10,Above average,"1103 Allena Drive, San Antonio, TX, 78213",Public district,PK-5,623,13:1,North East Independent School District
7926,Redland Oaks Elementary School,7/10,Above average,"16650 Redland Road, San Antonio, TX, 78247",Public district,PK-5,425,13:1,North East Independent School District
7927,Encino Park Elementary School,7/10,Above average,"2550 Encino Rio, San Antonio, TX, 78259",Public district,PK-5,638,17:1,North East Independent School District
7928,Stone Oak Elementary School,7/10,Above average,"21045 Crescent Oaks, San Antonio, TX, 78258",Public district,PK-5,855,16:1,North East Independent School District
7929,Huebner Elementary School,7/10,Above average,"16311 Huebner Road, San Antonio, TX, 78248",Public district,PK-5,703,15:1,North East Independent School District
7930,Fox Run Elementary School,7/10,Above average,"6111 Fox Creek Street, San Antonio, TX, 78247",Public district,PK-5,699,16:1,North East Independent School District
7931,Allen Elementary School,7/10,Above average,"101 Dumont Drive, San Antonio, TX, 78227",Public district,PK-5,584,18:1,Northside Independent School District (NISD)
7932,Linton Elementary School,7/10,Above average,"2103 Oak Hill Road, San Antonio, TX, 78238",Public district,PK-5,546,19:1,Northside Independent School District (NISD)
7933,Knowlton Elementary School,7/10,Above average,"9500 Timber Path, San Antonio, TX, 78250",Public district,PK-5,671,20:1,Northside Independent School District (NISD)
7934,Steubing Elementary School,7/10,Above average,"11655 Braefield, San Antonio, TX, 78249",Public district,PK-5,526,18:1,Northside Independent School District (NISD)
7935,Alamo Heights High School,7/10,Above average,"6900 Broadway Street, San Antonio, TX, 78209",Public district,9-12,1578,15:1,Alamo Heights Independent School District
7936,Alamo Heights J High School,7/10,Above average,"7607 North New Braunfels Avenue, San Antonio, TX, 78209",Public district,6-8,1100,17:1,Alamo Heights Independent School District
7937,Langley Elementary School,7/10,Above average,"14185 Bella Vista Place, San Antonio, TX, 78253",Public district,PK-5,462,16:1,Northside Independent School District (NISD)
7938,Brennan High School,7/10,Above average,"2400 Cottonwood Way, San Antonio, TX, 78253",Public district,9-12,2649,15:1,Northside Independent School District (NISD)
7939,Briscoe Middle School,7/10,Above average,"4265 Lone Star Parkway, San Antonio, TX, 78253",Public district,6-8,1222,18:1,Northside Independent School District (NISD)
7940,Henderson Elementary School,7/10,Above average,"14605 Kallison Bend, San Antonio, TX, 78254",Public district,PK-5,535,20:1,Northside Independent School District (NISD)
7941,Tuscany Heights Elementary School,7/10,Above average,"25001 Wilderness Oak, San Antonio, TX, 78260",Public district,PK-5,785,16:1,North East Independent School District
7942,Mireles Elementary School,7/10,Above average,"12260 Rockwall Mill, San Antonio, TX, 78253",Public district,PK-5,945,20:1,Northside Independent School District (NISD)
7943,Fisher Elementary School,6/10,Average,"3430 Barrel Pass, San Antonio, TX, 78245",Public district,PK-5,780,20:1,Northside Independent School District (NISD)
7944,Wanke Elementary School,6/10,Average,"10419 Old Prue Road, San Antonio, TX, 78249",Public district,PK-5,803,19:1,Northside Independent School District (NISD)
7945,Mission Academy,6/10,Average,"9210 South Presa Street, San Antonio, TX, 78223",Public district,PK-8,584,14:1,San Antonio Independent School District
7946,Harris Middle School,6/10,Average,"5300 Knoll Creek Drive, San Antonio, TX, 78247",Public district,6-8,1087,16:1,North East Independent School District
7947,Scarborough Elementary School,6/10,Average,"12280 Silver Pointe, San Antonio, TX, 78254",Public district,PK-5,908,18:1,Northside Independent School District (NISD)
7948,Gates Elementary School,6/10,Average,"510 Morningview Drive, San Antonio, TX, 78220",Public district,PK-6,226,13:1,San Antonio Independent School District
7949,George E Kelly Elementary School,6/10,Average,"1026 Thompson Place, San Antonio, TX, 78226",Public district,PK-5,283,17:1,San Antonio Independent School District
7950,Irving Middle,6/10,Average,"1300 Delgado Street, San Antonio, TX, 78207",Public charter,7-8,429,13:1,San Antonio Independent School District
7951,David Barkley/Francisco Ruiz El,6/10,Average,"1111 South Navidad Street, San Antonio, TX, 78207",Public charter,PK-5,491,16:1,San Antonio Independent School District
7952,Washington Elementary School,6/10,Average,"1823 Nolan Street, San Antonio, TX, 78202",Public district,PK-6,479,17:1,San Antonio Independent School District
7953,Sun Valley Elementary School,6/10,Average,"11914 Dragon Lane, San Antonio, TX, 78252",Public district,PK-5,620,16:1,Southwest Independent School District
7954,Elm Creek Elementary School,6/10,Average,"11914 Dragon Lane, San Antonio, TX, 78252",Public district,PK-5,690,15:1,Southwest Independent School District
7955,Lewis Elementary School,6/10,Average,"1000 Seascape Drive, San Antonio, TX, 78251",Public district,PK-5,698,22:1,Northside Independent School District (NISD)
7956,Warren High School,6/10,Average,"9411 Military Drive West, San Antonio, TX, 78251",Public district,9-12,3084,16:1,Northside Independent School District (NISD)
7957,Dr Harmon W Kelley Elementary School,6/10,Average,"802 Oblate Drive, San Antonio, TX, 78216",Public charter,PK-6,301,15:1,School Of Excellence In Education
7958,KIPP Poder Academy,6/10,Average,"128 South Audubon Drive, San Antonio, TX, 78212",Public charter,5-8,345,20:1,KIPP San Antonio
7959,Basis San Antonio North,6/10,Average,"318 E Ramsey Rd, San Antonio, TX, 78216",Public charter,K-5,677,11:1,Basis Texas
7960,Boldt Elementary School,6/10,Average,"310 Hollimon Parkway, San Antonio, TX, 78253",Public district,PK-5,771,19:1,Northside Independent School District (NISD)
7961,Brooks International Studies Academy,6/10,Average,"134 East Lambert Street, San Antonio, TX, 78204",Public charter,K-7,95,15:1,Brooks Academy Of Science And Engineering
7962,IDEA Eastside College Preparatory,6/10,Average,"2519 Martin Luther King Drive, San Antonio, TX, 78220",Public charter,6-10,336,15:1,Idea Public Schools
7963,IDEA Monterrey Park Academy,6/10,Average,"222 SW 39th Street, San Antonio, TX, 78237",Public charter,K-5,731,22:1,Idea Public Schools
7964,IDEA Walzem College Preparatory,6/10,Average,"6445 Walzem Road, San Antonio, TX, 78239",Public charter,6-11,438,14:1,Idea Public Schools
7965,St Philip's College Early College High School With Saisd,6/10,Average,"1801 Martin Luther King Drive, San Antonio, TX, 78203",Public charter,9-12,248,21:1,San Antonio Independent School District
7966,Idea Judson College Preparatory,6/10,Average,"13427 Judson Road, San Antonio, TX, 78233",Public charter,6-9,233,20:1,Idea Public Schools
7967,Advanced Learning Academy,6/10,Average,"621 West Euclid Avenue, San Antonio, TX, 78212",Public charter,PK-12,716,14:1,San Antonio Independent School District
7968,Idea Judson Academy,6/10,Average,"13427 Judson Road, San Antonio, TX, 78233",Public charter,K-5,512,21:1,Idea Public Schools
7969,Compass Rose Academy,6/10,Average,"8005 Outer Circle Road, San Antonio, TX, 78234",Public charter,6-12,90,11:1,N/A
7970,Idea Ewing Halsell College Preparatory,6/10,Average,"2523 West Ansley Boulevard, San Antonio, TX, 78224",Public charter,6-8,119,22:1,Idea Public Schools
7971,Ft Sam Houston Elementary School,6/10,Average,"4351 Nursery Road, San Antonio, TX, 78234",Public district,PK-5,885,14:1,Ft Sam Houston Independent School District
7972,Castle Hills Elementary School,6/10,Average,"200 Lemonwood Drive, San Antonio, TX, 78213",Public district,PK-5,479,14:1,North East Independent School District
7973,Garner Middle School,6/10,Average,"4302 Harry Wurzbach Road, San Antonio, TX, 78209",Public district,6-8,965,14:1,North East Independent School District
7974,Jackson Middle School,6/10,Average,"4538 Vance Jackson Road, San Antonio, TX, 78230",Public district,6-8,808,12:1,North East Independent School District
7975,Bradley Middle School,6/10,Average,"14819 Heimer Road, San Antonio, TX, 78232",Public district,6-8,1288,17:1,North East Independent School District
7976,Oak Meadow Elementary School,6/10,Average,"2800 Hunters Green, San Antonio, TX, 78231",Public district,PK-5,449,12:1,North East Independent School District
7977,Leon Valley Elementary School,6/10,Average,"7111 Huebner Road, San Antonio, TX, 78240",Public district,PK-5,600,19:1,Northside Independent School District (NISD)
7978,Clark High School,6/10,Average,"5150 De Zavala Road, San Antonio, TX, 78249",Public district,9-12,2744,16:1,Northside Independent School District (NISD)
7979,Valley Hi Elementary School,6/10,Average,"8503 Ray Ellison Boulevard, San Antonio, TX, 78227",Public district,PK-5,409,19:1,Northside Independent School District (NISD)
7980,Westwood Terrace Elementary School,6/10,Average,"2315 Hackamore Lane, San Antonio, TX, 78227",Public district,PK-5,554,22:1,Northside Independent School District (NISD)
7981,Braun Station Elementary School,6/10,Average,"8631 Tezel Road, San Antonio, TX, 78254",Public district,PK-5,554,18:1,Northside Independent School District (NISD)
7982,Taft High School,6/10,Average,"11600 Culebra Road, San Antonio, TX, 78253",Public district,9-12,2620,18:1,Northside Independent School District (NISD)
7983,Thornton Elementary School,6/10,Average,"6450 Pembroke Road, San Antonio, TX, 78240",Public district,PK-5,607,16:1,Northside Independent School District (NISD)
7984,Brauchle Elementary School,6/10,Average,"8555 Bowens Crossing, San Antonio, TX, 78250",Public district,PK-5,635,20:1,Northside Independent School District (NISD)
7985,Connally Middle School,6/10,Average,"8661 Silent Sunrise, San Antonio, TX, 78250",Public district,6-8,953,15:1,Northside Independent School District (NISD)
7986,Stinson Middle School,6/10,Average,"13200 Skyhawk Drive, San Antonio, TX, 78249",Public district,6-8,1179,16:1,Northside Independent School District (NISD)
7987,Hoffmann Elementary School,6/10,Average,"12118 Volunteer Parkway, San Antonio, TX, 78253",Public district,PK-5,1013,20:1,Northside Independent School District (NISD)
7988,Las Lomas Elementary School,6/10,Average,"20303 Hardy Oak Boulevard, San Antonio, TX, 78258",Public district,PK-5,486,14:1,North East Independent School District
7989,Medio Creek Elementary School,6/10,Average,"11914 Dragon Lane, San Antonio, TX, 78252",Public district,PK-5,597,14:1,Southwest Independent School District
7990,Lieck Elementary School,6/10,Average,"12600 Reid Ranch, San Antonio, TX, 78245",Public district,PK-5,760,21:1,Northside Independent School District (NISD)
7991,Luna Middle School,5/10,Average,"200 North Grosenbacher Road, San Antonio, TX, 78253",Public district,6-8,1358,17:1,Northside Independent School District (NISD)
7992,Kipp Aspire Academy,5/10,Average,"239 Stark Street, San Antonio, TX, 78204",Public charter,5-8,501,16:1,KIPP San Antonio
7993,Murnin Elementary School,5/10,Average,"9019 Dugas Drive, San Antonio, TX, 78251",Public district,PK-5,883,21:1,Northside Independent School District (NISD)
7994,M L King Academy,5/10,Average,"3501 Martin Luther King Drive, San Antonio, TX, 78220",Public charter,PK-8,365,13:1,San Antonio Independent School District
7995,Mead Elementary School,5/10,Average,"3803 Midhorizon Drive, San Antonio, TX, 78229",Public district,PK-5,735,21:1,Northside Independent School District (NISD)
7996,Steubing Ranch Elementary School,5/10,Average,"5100 Knoll Creek Drive, San Antonio, TX, 78247",Public district,PK-5,972,17:1,North East Independent School District
7997,Harmony Science Academy - San Antonio,5/10,Average,"8505 Lakeside Parkway, San Antonio, TX, 78245",Public charter,6-12,772,15:1,Harmony Science Acad (San Antonio)
7998,Driggers Elementary School,5/10,Average,"6901 Shadow Mist Road, San Antonio, TX, 78238",Public district,PK-5,574,20:1,Northside Independent School District (NISD)
7999,Vale Middle School,5/10,Average,"2120 North Ellison Drive, San Antonio, TX, 78251",Public district,6-8,1330,17:1,Northside Independent School District (NISD)
8000,Arnold Elementary School,5/10,Average,"467 Freiling Drive, San Antonio, TX, 78213",Public district,PK-5,593,15:1,San Antonio Independent School District
8001,Briscoe El,5/10,Average,"2015 South Flores Street, San Antonio, TX, 78204",Public charter,PK-5,492,15:1,San Antonio Independent School District
8002,Charles Graebner Elementary School,5/10,Average,"530 Hoover Avenue, San Antonio, TX, 78225",Public district,PK-5,793,17:1,San Antonio Independent School District
8003,Hillcrest Elementary School,5/10,Average,"211 West Malone Avenue, San Antonio, TX, 78214",Public district,PK-5,538,15:1,San Antonio Independent School District
8004,Lamar Elementary School,5/10,Average,"201 Parland Place, San Antonio, TX, 78209",Public charter,PK-6,366,15:1,San Antonio Independent School District
8005,Margil Elementary School,5/10,Average,"1000 Perez Street, San Antonio, TX, 78207",Public district,PK-6,563,15:1,San Antonio Independent School District
8006,Muriel Forbes Elementary School,5/10,Average,"2630 Sally Gay Drive, San Antonio, TX, 78223",Public district,PK-7,306,14:1,San Antonio Independent School District
8007,Whittier Middle,5/10,Average,"2101 Edison Drive, San Antonio, TX, 78201",Public charter,6-8,825,16:1,San Antonio Independent School District
8008,Five Palms Elementary School,5/10,Average,"7138 Five Palms Drive, San Antonio, TX, 78242",Public district,PK-5,471,15:1,South San Antonio Independent School District
8009,Kindred Elementary School,5/10,Average,"7811 Kindred Street, San Antonio, TX, 78224",Public district,PK-5,409,15:1,South San Antonio Independent School District
8010,Palo Alto Elementary School,5/10,Average,"1725 Palo Alto Road, San Antonio, TX, 78211",Public district,PK-5,495,17:1,South San Antonio Independent School District
8011,Southwest Elementary School,5/10,Average,"11914 Dragon Lane, San Antonio, TX, 78252",Public district,PK-5,641,15:1,Southwest Independent School District
8012,Indian Creek Elementary School,5/10,Average,"11914 Dragon Lane, San Antonio, TX, 78252",Public district,PK-5,554,15:1,Southwest Independent School District
8013,Sky Harbour Elementary School,5/10,Average,"11914 Dragon Lane, San Antonio, TX, 78252",Public district,PK-5,651,15:1,Southwest Independent School District
8014,Hidden Cove Elementary School,5/10,Average,"11914 Dragon Lane, San Antonio, TX, 78252",Public district,PK-5,565,14:1,Southwest Independent School District
8015,Kriewald Rd Elementary School,5/10,Average,"11914 Dragon Lane, San Antonio, TX, 78252",Public district,PK-5,613,15:1,Southwest Independent School District
8016,Michael Elementary School,5/10,Average,"3155 Quiet Plain Drive, San Antonio, TX, 78245",Public district,PK-5,751,20:1,Northside Independent School District (NISD)
8017,Wetmore Elementary School,5/10,Average,"3250 Thousand Oaks, San Antonio, TX, 78247",Public district,PK-5,681,16:1,North East Independent School District
8018,Rhodes Elementary School,5/10,Average,"5714 North Knoll, San Antonio, TX, 78240",Public district,PK-5,590,19:1,Northside Independent School District (NISD)
8019,The Education And Training Center,5/10,Average,"106 South Saint Mary's Street, San Antonio, TX, 78205",Public charter,PK-12,149,11:1,George Gervin Academy
8020,Anne Frank Inspire Academy,5/10,Average,"10325 Bandera Road, San Antonio, TX, 78250",Public charter,K-12,375,19:1,Inspire Academies
8021,IDEA Walzem Academy,5/10,Average,"6445 Walzem Road, San Antonio, TX, 78239",Public charter,K-5,712,21:1,Idea Public Schools
8022,Lighthouse Charter School - B Campus,5/10,Average,"8138 Westshire Drive, San Antonio, TX, 78227",Public charter,PK-12,219,13:1,Lighthouse Charter School
8023,Harmony School Of Excellence - San Antonio,5/10,Average,"2015 Southwest Loop 410, San Antonio, TX, 78227",Public charter,PK-5,548,15:1,Harmony Science Acad (San Antonio)
8024,Brooks Academy Oaks,5/10,Average,"6070 Babcock Road, San Antonio, TX, 78240",Public charter,PK-5,175,11:1,Brooks Academy Of Science And Engineering
8025,Cast Tech High S,5/10,Average,"637 North Main Avenue, San Antonio, TX, 78205",Public charter,9,147,18:1,San Antonio Independent School District
8026,A Leal Jr Middle School,5/10,Average,"743 West Southcross Boulevard, San Antonio, TX, 78211",Public district,6-8,822,14:1,Harlandale Independent School District
8027,Carroll Bell Elementary School,5/10,Average,"906 March Avenue, San Antonio, TX, 78214",Public district,PK-5,469,15:1,Harlandale Independent School District
8028,E High Gilbert Elementary School,5/10,Average,"931 East Southcross, San Antonio, TX, 78214",Public district,PK-5,558,15:1,Harlandale Independent School District
8029,Harlandale Middle School,5/10,Average,"300 West Huff Avenue, San Antonio, TX, 78214",Public district,6-8,831,14:1,Harlandale Independent School District
8030,Vestal Elementary School,5/10,Average,"1111 West Vestal Place, San Antonio, TX, 78221",Public district,PK-5,463,15:1,Harlandale Independent School District
8031,Wright Elementary School,5/10,Average,"115 East Huff Avenue, San Antonio, TX, 78214",Public district,PK-5,518,15:1,Harlandale Independent School District
8032,George Gervin Academy,5/10,Average,"6944 South Sunbelt Drive, San Antonio, TX, 78218",Public charter,PK-12,1209,25:1,George Gervin Academy
8033,Driscoll Middle School,5/10,Average,"17150 Jones Maltsberger Road, San Antonio, TX, 78247",Public district,6-8,791,15:1,North East Independent School District
8034,Camelot Elementary School,5/10,Average,"5311 Merlin Dr San Antonio, Texas 78218, San Antonio, TX, 78218",Public district,PK-5,614,15:1,North East Independent School District
8035,Churchill High School,5/10,Average,"12049 Blanco Road, San Antonio, TX, 78216",Public district,9-12,2932,17:1,North East Independent School District
8036,Dellview Elementary School,5/10,Average,"7235 Dewhurst Road, San Antonio, TX, 78213",Public district,PK-5,397,12:1,North East Independent School District
8037,East Terrell Hills Elementary School,5/10,Average,"4415 Bloomdale Drive, San Antonio, TX, 78218",Public district,PK-5,626,13:1,North East Independent School District
8038,Krueger Middle School,5/10,Average,"438 Lanark Drive, San Antonio, TX, 78218",Public district,6-8,906,12:1,North East Independent School District
8039,Lee High School,5/10,Average,"1400 Jackson Keller Road, San Antonio, TX, 78213",Public district,9-12,2642,14:1,North East Independent School District
8040,Madison High School,5/10,Average,"5005 Stahl Road, San Antonio, TX, 78247",Public district,9-12,3287,17:1,North East Independent School District
8041,Northwood Elementary School,5/10,Average,"519 Pike Road, San Antonio, TX, 78209",Public district,PK-5,416,14:1,North East Independent School District
8042,West Avenue Elementary School,5/10,Average,"3915 East Charles William Anderson Loop, San Antonio, TX, 78253",Public district,PK-5,356,12:1,North East Independent School District
8043,Wilshire Elementary School,5/10,Average,"6523 Cascade Place, San Antonio, TX, 78218",Public district,PK-5,339,11:1,North East Independent School District
8044,Thousand Oaks Elementary School,5/10,Average,"16080 Henderson Pass, San Antonio, TX, 78232",Public district,PK-5,743,16:1,North East Independent School District
8045,Evers Elementary School,5/10,Average,"1715 Richland Hills Drive, San Antonio, TX, 78251",Public district,PK-5,844,20:1,Northside Independent School District (NISD)
8046,Jordan Middle School,5/10,Average,"1725 Richland Hills Drive, San Antonio, TX, 78251",Public district,6-8,1289,15:1,Northside Independent School District (NISD)
8047,Adams Hill Elementary School,5/10,Average,"9627 Adams Hill Drive, San Antonio, TX, 78245",Public district,PK-5,515,19:1,Northside Independent School District (NISD)
8048,Stevenson Middle School,5/10,Average,"8403 Tezel Road, San Antonio, TX, 78254",Public district,6-8,1315,16:1,Northside Independent School District (NISD)
8049,Glenoaks Elementary School,5/10,Average,"5103 Newcome Drive, San Antonio, TX, 78229",Public district,PK-5,628,16:1,Northside Independent School District (NISD)
8050,Holmes High School,5/10,Average,"6500 Ingram Road, San Antonio, TX, 78238",Public district,9-12,2840,16:1,Northside Independent School District (NISD)
8051,Marshall High School,5/10,Average,"8000 Lobo Lane, San Antonio, TX, 78240",Public district,9-12,2616,15:1,Northside Independent School District (NISD)
8052,Boone Elementary School,5/10,Average,"6614 Spring Rose Drive, San Antonio, TX, 78249",Public district,PK-5,602,19:1,Northside Independent School District (NISD)
8053,Neff Middle School,5/10,Average,"5227 Evers Road, San Antonio, TX, 78238",Public district,6-8,1176,16:1,Northside Independent School District (NISD)
8054,Howsman Elementary School,5/10,Average,"11431 Vance Jackson Road, San Antonio, TX, 78230",Public district,PK-5,712,18:1,Northside Independent School District (NISD)
8055,Glass Elementary School,5/10,Average,"519 Clearview Drive, San Antonio, TX, 78228",Public district,PK-5,604,21:1,Northside Independent School District (NISD)
8056,Hobby Middle School,5/10,Average,"11843 Vance Jackson Road, San Antonio, TX, 78230",Public district,6-8,1026,14:1,Northside Independent School District (NISD)
8057,Timberwilde Elementary School,5/10,Average,"8838 Timberwilde Street, San Antonio, TX, 78250",Public district,PK-5,651,17:1,Northside Independent School District (NISD)
8058,Northwest Crossing Elementary School,5/10,Average,"10255 Dover Ridge, San Antonio, TX, 78250",Public district,PK-5,539,16:1,Northside Independent School District (NISD)
8059,Galm Elementary School,5/10,Average,"1454 Saxonhill Drive, San Antonio, TX, 78253",Public district,PK-5,614,19:1,Northside Independent School District (NISD)
8060,Behlau Elementary School,5/10,Average,"2355 Camplight Way, San Antonio, TX, 78245",Public district,PK-5,1105,25:1,Northside Independent School District (NISD)
8061,Henry Ford Academy Alameda School,5/10,Average,"318 West Houston Street, San Antonio, TX, 78205",Public charter,9-12,137,15:1,Henry Ford Academy Alameda School For Art + Design
8062,Kipp University Prep High School,5/10,Average,"239 Stark Street, San Antonio, TX, 78204",Public charter,9-12,822,18:1,KIPP San Antonio
8063,Harmony School Of Innovation - San Antonio,5/10,Average,"8125 Glen Mont Drive, San Antonio, TX, 78239",Public charter,PK-8,509,13:1,Harmony Science Acad (San Antonio)
8064,Kingsway Leadership Academy,5/10,Average,"4434 Roland Road, San Antonio, TX, 78222",Public charter,PK-12,255,14:1,Jubilee Academic Center
8065,Ott Elementary School,4/10,Below average,"100 North Grosenbacher Road, San Antonio, TX, 78253",Public district,PK-5,713,20:1,Northside Independent School District (NISD)
8066,Hatchett Elementary School,4/10,Below average,"10700 Ingram Road, San Antonio, TX, 78245",Public district,PK-5,782,20:1,Northside Independent School District (NISD)
8067,Karen Wagner High School,4/10,Below average,"3000 North Foster Road, San Antonio, TX, 78244",Public district,9-12,2124,14:1,Judson Independent School District
8068,Robert C Zamora Middle School,4/10,Below average,"8638 Larkia Street, San Antonio, TX, 78224",Public district,6-8,776,19:1,South San Antonio Independent School District
8069,Stevens High School,4/10,Below average,"600 North Ellison Drive, San Antonio, TX, 78251",Public district,9-12,2913,16:1,Northside Independent School District (NISD)
8070,New Frontiers Middle School,4/10,Below average,"138 Fair Avenue, San Antonio, TX, 78223",Public charter,K-8,486,12:1,New Frontiers Public Schools Inc
8071,Carnahan Elementary School,4/10,Below average,"6839 Babcock Road, San Antonio, TX, 78249",Public district,PK-5,586,17:1,Northside Independent School District (NISD)
8072,Baskin El,4/10,Below average,"630 Crestview Drive, San Antonio, TX, 78201",Public district,PK-5,523,16:1,San Antonio Independent School District
8073,Bonham Academy,4/10,Below average,"925 South Saint Mary's Street, San Antonio, TX, 78205",Public charter,PK-8,582,17:1,San Antonio Independent School District
8074,Cameron Elementary School,4/10,Below average,"3635 Belgium Lane, San Antonio, TX, 78219",Public district,PK-5,454,14:1,San Antonio Independent School District
8075,Collins Garden Elementary School,4/10,Below average,"167 Harriman Place, San Antonio, TX, 78204",Public district,PK-5,509,16:1,San Antonio Independent School District
8076,David Crockett Elementary School,4/10,Below average,"2215 Morales Street, San Antonio, TX, 78207",Public district,PK-6,667,15:1,San Antonio Independent School District
8077,De Zavala Elementary School,4/10,Below average,"2311 San Luis Street, San Antonio, TX, 78207",Public district,PK-5,600,15:1,San Antonio Independent School District
8078,Dorie Miller Elementary School,4/10,Below average,"207 Lincolnshire Drive, San Antonio, TX, 78220",Public district,PK-5,262,11:1,San Antonio Independent School District
8079,Eloise Japhet Elementary School,4/10,Below average,"314 Astor Street, San Antonio, TX, 78210",Public district,PK-7,821,15:1,San Antonio Independent School District
8080,Foster Elementary School,4/10,Below average,"6718 Pecan Valley Drive, San Antonio, TX, 78223",Public district,PK-7,644,17:1,San Antonio Independent School District
8081,Franklin Elementary School,4/10,Below average,"1915 West Olmos Drive, San Antonio, TX, 78201",Public district,PK-5,473,16:1,San Antonio Independent School District
8082,Hawthorne Pk-8 Academy,4/10,Below average,"115 West Josephine Street, San Antonio, TX, 78212",Public charter,PK-8,821,16:1,San Antonio Independent School District
8083,Longfellow Middle School,4/10,Below average,"1130 East Sunshine Drive, San Antonio, TX, 78228",Public district,6-8,854,14:1,San Antonio Independent School District
8084,Madison Elementary School,4/10,Below average,"2900 West Woodlawn Avenue, San Antonio, TX, 78228",Public district,PK-5,582,15:1,San Antonio Independent School District
8085,Neal Elementary School,4/10,Below average,"3407 Capitol Avenue, San Antonio, TX, 78201",Public district,PK-5,547,15:1,San Antonio Independent School District
8086,Ogden Elementary School,4/10,Below average,"2215 Leal Street, San Antonio, TX, 78207",Public charter,PK-6,637,14:1,San Antonio Independent School District
8087,Pershing Elementary School,4/10,Below average,"600 Sandmeyer Street, San Antonio, TX, 78208",Public district,PK-6,521,17:1,San Antonio Independent School District
8088,Riverside Park El,4/10,Below average,"202 School Street, San Antonio, TX, 78210",Public district,PK-6,393,13:1,San Antonio Independent School District
8089,Robert B Green Elementary School,4/10,Below average,"122 West Whittier Street, San Antonio, TX, 78210",Public district,PK-6,192,12:1,San Antonio Independent School District
8090,Brackenridge High School,4/10,Below average,"400 Eagleland Drive, San Antonio, TX, 78210",Public district,9-12,1717,17:1,San Antonio Independent School District
8091,Woodlawn Elementary School,4/10,Below average,"1717 West Magnolia Avenue, San Antonio, TX, 78201",Public district,PK-8,670,15:1,San Antonio Independent School District
8092,Alan B Shepard Middle School,4/10,Below average,"5558 Ray Ellison Boulevard, San Antonio, TX, 78242",Public district,6-8,556,17:1,South San Antonio Independent School District
8093,Francis R Scobee Middle School,4/10,Below average,"11914 Dragon Lane, San Antonio, TX, 78252",Public district,6-8,855,16:1,Southwest Independent School District
8094,Royal Ridge Elementary School,4/10,Below average,"5933 Royal Ridge, San Antonio, TX, 78239",Public district,PK-5,611,15:1,North East Independent School District
8095,Southwest Preparatory Southeast Ca,4/10,Below average,"735 South WW White Road, San Antonio, TX, 78220",Public charter,PK-12,213,12:1,Southwest Preparatory School
8096,Southwest Preparatory School-North,4/10,Below average,"6535 Culebra Road, San Antonio, TX, 78238",Public charter,5-12,209,14:1,Southwest Preparatory School
8097,Roy Benavidez Elementary School,4/10,Below average,"8340 Interstate 35, San Antonio, TX, 78224",Public district,PK-5,654,15:1,South San Antonio Independent School District
8098,Mary Lou Hartman,4/10,Below average,"7203 Woodlake Parkway, San Antonio, TX, 78218",Public district,PK-5,753,15:1,Judson Independent School District
8099,Roy Cisneros Elementary School,4/10,Below average,"3011 Ruiz Street, San Antonio, TX, 78228",Public district,PK-5,502,15:1,Edgewood Independent School District
8100,Frank L Madla Early College High School,4/10,Below average,"138 Fair Avenue, San Antonio, TX, 78223",Public charter,9-12,220,20:1,New Frontiers Public Schools Inc
8101,Harlandale Isd Stem Echs-Alamo Colleges At Pac,4/10,Below average,"4040 Apollo Street, San Antonio, TX, 78214",Public district,9-12,359,19:1,Harlandale Independent School District
8102,IDEA Eastside Academy,4/10,Below average,"2519 Martin Luther King Drive, San Antonio, TX, 78220",Public charter,PK-5,608,20:1,Idea Public Schools
8103,Judith A Resnik Middle,4/10,Below average,"11914 Dragon Lane, San Antonio, TX, 78252",Public district,6-8,837,17:1,Southwest Independent School District
8104,SEGUIN EL,4/10,Below average,"1258 Austin Highway, San Antonio, TX, 78209",Public charter,PK-6,144,15:1,Southwest Preparatory School
8105,Columbia Heights Elementary School,4/10,Below average,"1610 Fitch Avenue, San Antonio, TX, 78211",Public district,PK-5,435,14:1,Harlandale Independent School District
8106,Stonewall/Flanders Elementary School,4/10,Below average,"804 Stonewall Street, San Antonio, TX, 78211",Public district,PK-5,727,15:1,Harlandale Independent School District
8107,Kingsborough Middle School,4/10,Below average,"422 East Ashley Road, San Antonio, TX, 78221",Public district,6-8,651,15:1,Harlandale Independent School District
8108,Mccollum High School,4/10,Below average,"500 West Formosa Boulevard, San Antonio, TX, 78221",Public district,9-12,1553,13:1,Harlandale Independent School District
8109,Morrill Elementary School,4/10,Below average,"5200 South Flores Street, San Antonio, TX, 78214",Public district,PK-5,445,15:1,Harlandale Independent School District
8110,Rayburn Elementary School,4/10,Below average,"635 Rayburn Drive, San Antonio, TX, 78221",Public district,PK-5,441,15:1,Harlandale Independent School District
