Unnamed: 0,School,Score,Rating,Address,Type,Grades,Total Students Enrolled,Students per teacher,District,City,State,High School (9-12),Middle School (6-8),Elementary (K-5),Pre-Kindergarten (PK)
4499,Bnos Esther School,0,Currently unrated,"116 North La Brea Avenue, Los Angeles, CA, 90036",Private,9-12,40.0,,Unavailable,Los Angeles,CA,1,0,0,0
4500,East Valley Academy,0,Currently unrated,"20206 Londelius Street, Los Angeles, CA, 91306",Private,1-12,31.0,,Unavailable,Los Angeles,CA,1,1,1,0
4501,Ivie League Christian Preschool,0,Currently unrated,"4416 West Slauson Avenue, Los Angeles, CA, 90043",Private,K-1,27.0,,Unavailable,Los Angeles,CA,0,0,1,0
4502,Marylon's Learning Center,0,Currently unrated,"12815 South San Pedro Street, Los Angeles, CA, 90061",Private,PK-K,12.0,,Unavailable,Los Angeles,CA,0,0,1,1
4503,Morning Star Christian Academy,0,Currently unrated,"15055 Oxnard Street, Los Angeles, CA, 91411",Private,1-12,25.0,,Unavailable,Los Angeles,CA,1,1,1,0
4504,North Valley Christian,0,Currently unrated,"16814 Armstead Street, Los Angeles, CA, 91344",Private,1-12,8.0,,Unavailable,Los Angeles,CA,1,1,1,0
4505,The City School,0,Currently unrated,"17424 Sherman Way, Los Angeles, CA, 91406",Private,K-7,54.0,,Unavailable,Los Angeles,CA,0,1,1,0
4506,Yeshova Rav Isacson School,0,Currently unrated,"540 N La Brea Ave, Los Angeles, CA, 90036",Private,PK-8,0.0,,Unavailable,Los Angeles,CA,0,1,1,1
4507,Canyon Vista Childrens Learning Center - Andora,0,Currently unrated,"10616 Andora Avenue, Los Angeles, CA, 91311",Private,PK-K,83.0,,Unavailable,Los Angeles,CA,0,0,1,1
4508,Ivie League Christian Preschool,0,Currently unrated,"P.O. Box 43824, Los Angeles, CA, 90043",Private,PK-K,0.0,,Unavailable,Los Angeles,CA,0,0,1,1
4509,Or Hachaim Academy,0,Currently unrated,"6021 Laurel Canyon Boulevard, Los Angeles, CA, 91606",Private,K-8,273.0,,Unavailable,Los Angeles,CA,0,1,1,0
4510,Poverello Of Assisi Preschool,0,Currently unrated,"13367 Borden Avenue, Los Angeles, CA, 91342",Private,K,77.0,,Unavailable,Los Angeles,CA,0,0,1,0
4511,Culver City Adventist,0,Currently unrated,"11828 West Washington Boulevard, Los Angeles, CA, 90066",Private,K-8,0.0,,Unavailable,Los Angeles,CA,0,1,1,0
4512,Valley High School - Site 2,0,Currently unrated,"15314 Rayen Street, Los Angeles, CA, 91343",Private,5-12,70.0,,Unavailable,Los Angeles,CA,1,1,1,0
4513,Vista,0,Currently unrated,"3200 Motor Avenue, Los Angeles, CA, 90034",Private,K-12,281.0,,Unavailable,Los Angeles,CA,1,1,1,0
4514,Los Feliz Academy,0,Currently unrated,"4949 Hollywood Boulevard, Room 204, Los Angeles, CA, 90027",Private,K-8,0.0,,Unavailable,Los Angeles,CA,0,1,1,0
4515,Kinderchicks,0,Currently unrated,"10837 Collins Street, Los Angeles, CA, 91601",Private,PK-K,40.0,,Unavailable,Los Angeles,CA,0,0,1,1
4516,Tamika's Preschool,0,Currently unrated,"9322 South Main Street, Los Angeles, CA, 90003",Private,K-1,0.0,,Unavailable,Los Angeles,CA,0,0,1,0
4517,Dennison Academy,0,Currently unrated,"1738 Canyon Drive, Los Angeles, CA, 90028",Private,7-12,0.0,,Unavailable,Los Angeles,CA,1,1,0,0
4518,American Montessori Preschool And Elementary School,0,Currently unrated,"4475 Eagle Rock Boulevard, Los Angeles, CA, 90041",Private,K-8,17.0,,Unavailable,Los Angeles,CA,0,1,1,0
4519,Wildwood School,0,Currently unrated,"11811 West Olympic Boulevard, Los Angeles, CA, 90064",Private,K-12,720.0,,Unavailable,Los Angeles,CA,1,1,1,0
4520,Happy Preschool Land,0,Currently unrated,"15727 Vanowen Street, Los Angeles, CA, 91406",Private,PK-K,25.0,,Unavailable,Los Angeles,CA,0,0,1,1
4521,Delphi Academy Of Los Angeles,0,Currently unrated,"11341 Brainard Avenue, Los Angeles, CA, 91342",Private,PK-12,167.0,,Unavailable,Los Angeles,CA,1,1,1,1
4522,Divine Providence Day Nursery And Kindergarten,0,Currently unrated,"2620 Monmouth Avenue, Los Angeles, CA, 90007",Private,K,34.0,,Unavailable,Los Angeles,CA,0,0,1,0
4523,Montessori Shir Hashirim,0,Currently unrated,"6047 Carlton Way, Los Angeles, CA, 90028",Private,PK,0.0,,Unavailable,Los Angeles,CA,0,0,0,1
4524,St. Aloysius School,0,Currently unrated,"2023 Nadeau Street, Los Angeles, CA, 90001",Private,PK-8,153.0,,Unavailable,Los Angeles,CA,0,1,1,1
4525,St Andrews Pre-School & Kdg,0,Currently unrated,"845 South Saint Andrews Place, Los Angeles, CA, 90005",Private,PK,0.0,,Unavailable,Los Angeles,CA,0,0,0,1
4526,Sunland Christian School,0,Currently unrated,"13216 Leach Street, Los Angeles, CA, 91342",Private,K-12,204.0,,Unavailable,Los Angeles,CA,1,1,1,0
4527,Village Glen West,0,Currently unrated,"4160 Grand View Boulevard, Los Angeles, CA, 90066",Private,PK-12,384.0,,Unavailable,Los Angeles,CA,1,1,1,1
4528,Newton Academy,0,Currently unrated,"1035 Fedora Street, Los Angeles, CA, 90006",Private,PK-K,0.0,,Unavailable,Los Angeles,CA,0,0,1,1
4529,Los Angeles First Preschool,0,Currently unrated,"2029 W Washington Blvd, Los Angeles, CA, 90018",Private,PK-K,0.0,,Unavailable,Los Angeles,CA,0,0,1,1
4530,Buonora Cdc,0,Currently unrated,"9421 Woodman Avenue, Los Angeles, CA, 91331",Private,PK-K,11.0,,Unavailable,Los Angeles,CA,0,0,1,1
4531,Temple Aliyah Preschool And Kindergarten,0,Currently unrated,"6025 Valley Circle Boulevard, Los Angeles, CA, 91367",Private,PK-K,155.0,,Unavailable,Los Angeles,CA,0,0,1,1
4532,Rainbow Child Development Center,0,Currently unrated,"938 Menlo Avenue, Los Angeles, CA, 90006",Private,PK,0.0,,Unavailable,Los Angeles,CA,0,0,0,1
4533,Figueroa Christian Day Care,0,Currently unrated,"455 West 57th Street, Los Angeles, CA, 90037",Private,PK,0.0,,Unavailable,Los Angeles,CA,0,0,0,1
4534,Devonshire Montessori School,0,Currently unrated,"14941 Devonshire Street, Los Angeles, CA, 91345",Private,PK-K,62.0,,Unavailable,Los Angeles,CA,0,0,1,1
4535,Kingsley Montessori Pre-School,0,Currently unrated,"347 S Kingsley Dr, Los Angeles, CA, 90020",Private,PK,0.0,,Unavailable,Los Angeles,CA,0,0,0,1
4536,Joyces Toluca Lake Preschool,0,Currently unrated,"10512 Magnolia Boulevard, Los Angeles, CA, 91601",Private,PK-K,35.0,,Unavailable,Los Angeles,CA,0,0,1,1
4537,Westside Jewish Community Center,0,Currently unrated,"5870 West Olympic Boulevard, Los Angeles, CA, 90036",Private,K,0.0,,Unavailable,Los Angeles,CA,0,0,1,0
4538,Harvard Preschool & Kindergarten,0,Currently unrated,"1311 North Harvard Boulevard, Los Angeles, CA, 90027",Private,PK-K,56.0,,Unavailable,Los Angeles,CA,0,0,1,1
4539,Lyric Pre-School & Kindergarten,0,Currently unrated,"2328 Hyperion Avenue, Los Angeles, CA, 90027",Private,PK-K,0.0,,Unavailable,Los Angeles,CA,0,0,1,1
4540,Star Christian,0,Currently unrated,"2120 Estrella Avenue, Los Angeles, CA, 90007",Private,K-6,136.0,,Unavailable,Los Angeles,CA,0,1,1,0
4541,Al-Falaq / Me'raj Academy,0,Currently unrated,"11070 Old Santa Susana Pass Road, Los Angeles, CA, 91311",Private,K-8,142.0,,Unavailable,Los Angeles,CA,0,1,1,0
4542,Sunshine Learning Center & Ps,0,Currently unrated,"3704 Westwood Boulevard, Los Angeles, CA, 90034",Private,PK-K,0.0,,Unavailable,Los Angeles,CA,0,0,1,1
4543,Spirit Child Development Center,0,Currently unrated,"5458 Harcross Drive, Los Angeles, CA, 90043",Private,PK-K,0.0,,Unavailable,Los Angeles,CA,0,0,1,1
4544,Sound Of Music Preschool,0,Currently unrated,"1256 South Van Ness Avenue, Los Angeles, CA, 90019",Private,PK-K,18.0,,Unavailable,Los Angeles,CA,0,0,1,1
4545,Pico School,0,Currently unrated,"4436 West Pico Boulevard, Los Angeles, CA, 90019",Private,PK-2,25.0,,Unavailable,Los Angeles,CA,0,0,1,1
4546,Art Of Learning Academy,0,Currently unrated,"9535 Aldea Avenue, Los Angeles, CA, 91325",Private,3-12,6.0,,Unavailable,Los Angeles,CA,1,1,1,0
4547,Ballona Creek Academy,0,Currently unrated,"8228 Stewart Ave, Los Angeles, CA, 90045",Private,1-12,0.0,,Unavailable,Los Angeles,CA,1,1,1,0
4548,Beverly Hills Rc School,0,Currently unrated,"6550 Fountain Avenue, Los Angeles, CA, 90028",Private,K-1,24.0,,Unavailable,Los Angeles,CA,0,0,1,0
4549,Branford Grove,0,Currently unrated,"13044 Chase Street, Los Angeles, CA, 91331",Private,K-12,10.0,,Unavailable,Los Angeles,CA,1,1,1,0
4550,Bridgeport,0,Currently unrated,"13130 Burbank Boulevard, Los Angeles, CA, 91401",Private,K-12,252.0,,Unavailable,Los Angeles,CA,1,1,1,0
4551,Bundle of Joy Christian Academy,0,Currently unrated,"10963 South Western Avenue, Los Angeles, CA, 90047",Private,K-8,0.0,,Unavailable,Los Angeles,CA,0,1,1,0
4552,Carousel School,0,Currently unrated,"7899 La Tijera Boulevard, Los Angeles, CA, 90045",Private,K-12,69.0,,Unavailable,Los Angeles,CA,1,1,1,0
4553,Castle Elementary School,0,Currently unrated,"1435 West 120th Street, Los Angeles, CA, 90047",Private,K-3,90.0,,Unavailable,Los Angeles,CA,0,0,1,0
4554,Citizen Learning Academy,0,Currently unrated,"6715 South Western Avenue, Los Angeles, CA, 90047",Private,1-12,18.0,,Unavailable,Los Angeles,CA,1,1,1,0
4555,Community Preschool,0,Currently unrated,"650 East 135 Street, Los Angeles, CA, 90059",Private,K-4,0.0,,Unavailable,Los Angeles,CA,0,0,1,0
4556,Cornerstone Accelerated Learning Academy,0,Currently unrated,"2421 West Jefferson Boulevard, Los Angeles, CA, 90018",Private,K,0.0,,Unavailable,Los Angeles,CA,0,0,1,0
4557,Cornerstone Christian Academy,0,Currently unrated,"11031 Yolanda Avenue, Los Angeles, CA, 91326",Private,1-12,11.0,,Unavailable,Los Angeles,CA,1,1,1,0
4558,Crane Academy Of Excellence,0,Currently unrated,"23119 Vose Street, Los Angeles, CA, 91307",Private,K-12,10.0,,Unavailable,Los Angeles,CA,1,1,1,0
4559,Curtis School,0,Currently unrated,"15871 Mulholland Drive, Los Angeles, CA, 90049",Private,K-6,496.0,,Unavailable,Los Angeles,CA,0,1,1,0
4560,Del Carousel Elementary School,0,Currently unrated,"3944 West Slauson Boulevard, Los Angeles, CA, 90043",Private,K-5,0.0,,Unavailable,Los Angeles,CA,0,0,1,0
4561,Fairhaven Christian Academy,0,Currently unrated,"10438 Oro Vista Avenue, Los Angeles, CA, 91040",Private,1-12,130.0,,Unavailable,Los Angeles,CA,1,1,1,0
4562,Famli Circle School,0,Currently unrated,"8505 S Western Ave, Los Angeles, CA, 90047",Private,1-8,0.0,,Unavailable,Los Angeles,CA,0,1,1,0
4563,Grace Christian Academy,0,Currently unrated,"6510 Peach Avenue, Los Angeles, CA, 91406",Private,1-12,82.0,,Unavailable,Los Angeles,CA,1,1,1,0
4564,Harvard-Westlake School,0,Currently unrated,"3700 Coldwater Canyon Avenue, Los Angeles, CA, 91604",Private,10-12,868.0,,Unavailable,Los Angeles,CA,1,0,0,0
4565,Holy Martyrs Armenian Elementary School,0,Currently unrated,"16617 Parthenia Street, Los Angeles, CA, 91343",Private,K-5,244.0,,Unavailable,Los Angeles,CA,0,0,1,0
4566,Ladera Heights Prep Development Center,0,Currently unrated,"6901 Knowlton Place, Los Angeles, CA, 90045",Private,PK-K,9.0,,Unavailable,Los Angeles,CA,0,0,1,1
4567,Little Citizens / Westside Academy #3,0,Currently unrated,"3672 7th Avenue, Los Angeles, CA, 90018",Private,K-8,13.0,,Unavailable,Los Angeles,CA,0,1,1,0
4568,Little Citizens Westside Academy #3,0,Currently unrated,"3666 7th Avenue, Los Angeles, CA, 90018",Private,K-8,14.0,,Unavailable,Los Angeles,CA,0,1,1,0
4569,Los Angeles Christian,0,Currently unrated,"1620 West 20th Street, Los Angeles, CA, 90007",Private,K-8,107.0,,Unavailable,Los Angeles,CA,0,1,1,0
4570,Mirman School,0,Currently unrated,"16180 Mulholland Drive, Los Angeles, CA, 90049",Private,K-9,370.0,,Unavailable,Los Angeles,CA,1,1,1,0
4571,New Community Jewish High School,0,Currently unrated,"22622 Vanowen Street, Los Angeles, CA, 91307",Private,9-12,404.0,,Unavailable,Los Angeles,CA,1,0,0,0
4572,New Langston Hughes Academy,0,Currently unrated,"10513 S Vermont Ave, Los Angeles, CA, 90044",Private,K-12,0.0,,Unavailable,Los Angeles,CA,1,1,1,0
4573,The Northridge Community School,0,Currently unrated,"8212 Louise Avenue, Los Angeles, CA, 91325",Private,K-8,41.0,,Unavailable,Los Angeles,CA,0,1,1,0
4574,Our Lady of Victory School,0,Currently unrated,"14024 Bridle Ridge Road, Los Angeles, CA, 91342",Private,K-12,11.0,,Unavailable,Los Angeles,CA,1,1,1,0
4575,Pacific Southwest Lutheran Learning Center,0,Currently unrated,"1518 North Alexandria Avenue, Los Angeles, CA, 90027",Private,K-8,0.0,,Unavailable,Los Angeles,CA,0,1,1,0
4576,"Powell's Academic Academy And Childcare, Inc.",0,Currently unrated,"2411 West Slauson Avenue, Los Angeles, CA, 90043",Private,K-4,11.0,,Unavailable,Los Angeles,CA,0,0,1,0
4577,Saint Paul's Christian Academy,0,Currently unrated,"21621 Heather Lee Lane, Los Angeles, CA, 91311",Private,8-12,6.0,,Unavailable,Los Angeles,CA,1,1,0,0
4578,St. Casimir Elementary School,0,Currently unrated,"2714 St. George Street, Los Angeles, CA, 90027",Private,K-8,0.0,,Unavailable,Los Angeles,CA,0,1,1,0
4579,St. Joseph The Worker Elementary School,0,Currently unrated,"19812 Cantlay Street, Los Angeles, CA, 91306",Private,K-8,252.0,,Unavailable,Los Angeles,CA,0,1,1,0
4580,St. Malachy Catholic Elementary School,0,Currently unrated,"1200 East 81st Street, Los Angeles, CA, 90001",Private,K-8,207.0,,Unavailable,Los Angeles,CA,0,1,1,0
4581,St. Nicholas Primary & Child Care,0,Currently unrated,"2300 West 3rd Street, Los Angeles, CA, 90057",Private,PK-6,0.0,,Unavailable,Los Angeles,CA,0,1,1,1
4582,St. Odilia Elementary School,0,Currently unrated,"5300 Hooper Avenue, Los Angeles, CA, 90011",Private,K-8,268.0,,Unavailable,Los Angeles,CA,0,1,1,0
4583,Sunrise School,0,Currently unrated,"13130 Burbank Boulevard, Los Angeles, CA, 91401",Private,K-12,151.0,,Unavailable,Los Angeles,CA,1,1,1,0
4584,Temple Isaiah Preschool And Kindergarten,0,Currently unrated,"10345 West Pico Boulevard, Los Angeles, CA, 90064",Private,K,36.0,,Unavailable,Los Angeles,CA,0,0,1,0
4585,W.D.M. Islamic Learning Center/S.C.M School,0,Currently unrated,"1758 West 49th Street, #207, Office Off-Si, Los Angeles, CA, 90062",Private,K-12,0.0,,Unavailable,Los Angeles,CA,1,1,1,0
4586,Yeshiva of Los Angeles Girls High School,0,Currently unrated,"1619 South Robertson Boulevard, Los Angeles, CA, 90035",Private,9-12,0.0,,Unavailable,Los Angeles,CA,1,0,0,0
4587,Gifted Academy Of Math And Entrepreneurial Studies,0,Currently unrated,"2506 W. Imperial, Los Angeles, CA, 90062",Public charter,K-5,71.0,18:1,Los Angeles Unified School District,Los Angeles,CA,0,0,1,0
4588,Frida Kahlo High School,0,Currently unrated,"1924 South Los Angeles Street, Los Angeles, CA, 90011",Public district,9-12,149.0,21:1,Los Angeles Unified School District,Los Angeles,CA,1,0,0,0
4589,Carousel - Airport Blvd,0,Currently unrated,"8333 Airport Boulevard, Los Angeles, CA, 90045",Private,K-1,6.0,,Unavailable,Los Angeles,CA,0,0,1,0
4590,God's Hand Academy,0,Currently unrated,"1437 West 59th Place, Los Angeles, CA, 90047",Private,K-12,0.0,,Unavailable,Los Angeles,CA,1,1,1,0
4591,Joel John Scholastic Academy,0,Currently unrated,"100 E 49th St, Los Angeles, CA, 90011",Private,7-12,0.0,,Unavailable,Los Angeles,CA,1,1,0,0
4592,Komitas Daycare,0,Currently unrated,"1616 Hillhurst Avenue, Los Angeles, CA, 90027",Private,PK-K,27.0,,Unavailable,Los Angeles,CA,0,0,1,1
4593,Le Lycee Francais De Los Angeles,0,Currently unrated,"16720 Marquez Avenue, Los Angeles, CA, 90272",Private,K-2,45.0,,Unavailable,Los Angeles,CA,0,0,1,0
4594,Lewis Carroll Academy,0,Currently unrated,"19000 Saticoy Street, Los Angeles, CA, 91335",Private,PK-7,25.0,,Unavailable,Los Angeles,CA,0,1,1,1
4595,Los Angeles Computer Science Academy,0,Currently unrated,"1446 West Florence Avenue, Los Angeles, CA, 90047",Private,K-12,55.0,,Unavailable,Los Angeles,CA,1,1,1,0
4596,Seven Arrows Elementary School,0,Currently unrated,"15240 La Cruz Drive, Los Angeles, CA, 90272",Private,K-6,130.0,,Unavailable,Los Angeles,CA,0,1,1,0
4597,Smart Academy / Christian,0,Currently unrated,"7754 McGroarty Street, Los Angeles, CA, 91042",Private,K-12,6.0,,Unavailable,Los Angeles,CA,1,1,1,0
4598,UCLA Lab School,0,Currently unrated,"330 Charles E. Young Drive North, Los Angeles, CA, 90095",Private,K-6,0.0,,Unavailable,Los Angeles,CA,0,1,1,0
4599,Sunset Montessori Pre-School,0,Currently unrated,"1432 North Sycamore Avenue, Los Angeles, CA, 90028",Private,PK,0.0,,Unavailable,Los Angeles,CA,0,0,0,1
4600,WorldSpeak Language Center,0,Currently unrated,"1639 Westwood Blvd, Los Angeles, CA, 90024",Private,PK,0.0,,Unavailable,Los Angeles,CA,0,0,0,1
4601,St Stephen Presbyterian Pre-School,0,Currently unrated,"20121 Devonshire Street, Los Angeles, CA, 91311",Private,PK,0.0,,Unavailable,Los Angeles,CA,0,0,0,1
4602,Mar Vista Gardens Head Start,0,Currently unrated,"3600 Whittier Boulevard, Los Angeles, CA, 90023",Private,PK,0.0,,Unavailable,Los Angeles,CA,0,0,0,1
4603,Iqra Elementary School,0,Currently unrated,"11439 Encino Avenue, Los Angeles, CA, 91344",Private,PK-6,65.0,,Unavailable,Los Angeles,CA,0,1,1,1
4604,Boyle Heights Continuation School,0,Currently unrated,"544 South Mathews Street, Los Angeles, CA, 90033",Public district,9-12,70.0,16:1,Los Angeles Unified School District,Los Angeles,CA,1,0,0,0
4605,Moore Day Care,0,Currently unrated,"1700 West 120th Street, Los Angeles, CA, 90047",Private,PK,0.0,,Unavailable,Los Angeles,CA,0,0,0,1
4606,Don Carrington Childrens Center,0,Currently unrated,"315 West 9th Street #500, Los Angeles, CA, 90015",Private,PK,0.0,,Unavailable,Los Angeles,CA,0,0,0,1
4607,Gregory Park Head Start,0,Currently unrated,"5807 Gregory Avenue, Los Angeles, CA, 90038",Private,PK,0.0,,Unavailable,Los Angeles,CA,0,0,0,1
4608,Tender Care Child Development Center,0,Currently unrated,"4944 Southridge Avenue, Los Angeles, CA, 90043",Private,PK,0.0,,Unavailable,Los Angeles,CA,0,0,0,1
4609,Ydp Child Development Center,0,Currently unrated,"Po Box 91701, Los Angeles, CA, 90009",Private,PK,0.0,,Unavailable,Los Angeles,CA,0,0,0,1
4610,Anderson Head Start,0,Currently unrated,"1055 Wilshire Boulevard #1050, Los Angeles, CA, 90017",Private,PK,0.0,,Unavailable,Los Angeles,CA,0,0,0,1
4611,Central High School,0,Currently unrated,"716 East 14th Street, Los Angeles, CA, 90021",Public district,9-12,559.0,19:1,Los Angeles Unified School District,Los Angeles,CA,1,0,0,0
4612,Cheviot Hills Continuation School,0,Currently unrated,"9200 Cattaraugus Avenue, Los Angeles, CA, 90034",Public district,9-12,82.0,20:1,Los Angeles Unified School District,Los Angeles,CA,1,0,0,0
4613,Gateway Child Development Center,0,Currently unrated,"1 Gateway Plz 99-Pl-7, Los Angeles, CA, 90012",Private,PK-K,0.0,,Unavailable,Los Angeles,CA,0,0,1,1
4614,Cdcla-Tiny Dots Early Ed Center,0,Currently unrated,"315 West 9th Street #500, Los Angeles, CA, 90015",Private,PK,0.0,,Unavailable,Los Angeles,CA,0,0,0,1
4615,Ucla Interv Program,0,Currently unrated,"1000 Veteran Ave 23 31 Rehab, Los Angeles, CA, 90095",Private,PK,0.0,,Unavailable,Los Angeles,CA,0,0,0,1
4616,Middle School Dandy's Pre-School,0,Currently unrated,"1001 E Vernon Ave, Los Angeles, CA, 90011",Private,PK,0.0,,Unavailable,Los Angeles,CA,0,0,0,1
4617,Echo Park Child Development Center,0,Currently unrated,"1010 Douglas Street, Los Angeles, CA, 90026",Private,PK,0.0,,Unavailable,Los Angeles,CA,0,0,0,1
4618,Victory Baptist Church Nursery,0,Currently unrated,"Po Box 11038, Los Angeles, CA, 90011",Private,PK,0.0,,Unavailable,Los Angeles,CA,0,0,0,1
4619,Fox Child Development Center,0,Currently unrated,"10201 West Pico Boulevard #102, Los Angeles, CA, 90064",Private,PK,0.0,,Unavailable,Los Angeles,CA,0,0,0,1
4620,Vernon Child Development Head Start,0,Currently unrated,"1024 West Vernon Avenue, Los Angeles, CA, 90037",Private,PK,0.0,,Unavailable,Los Angeles,CA,0,0,0,1
4621,Evergreen Children's Center,0,Currently unrated,"1027 N Evergreen Ave, Los Angeles, CA, 90033",Private,PK,0.0,,Unavailable,Los Angeles,CA,0,0,0,1
4622,Rabbi Jacob Pressman Ecc,0,Currently unrated,"1055 South La Cienega Boulevard, Los Angeles, CA, 90035",Private,PK,0.0,,Unavailable,Los Angeles,CA,0,0,0,1
4623,Hacienda Head Start Center,0,Currently unrated,"10441 Antwerp St, Los Angeles, CA, 90002",Private,PK,0.0,,Unavailable,Los Angeles,CA,0,0,0,1
4624,Gospel Temple Outreach Child Care Center,0,Currently unrated,"10451 South Hoover Street, Los Angeles, CA, 90044",Private,PK-K,0.0,,Unavailable,Los Angeles,CA,0,0,1,1
4625,Antioch Child Care Center,0,Currently unrated,"1060 Crenshaw Boulevard, Los Angeles, CA, 90019",Private,PK,0.0,,Unavailable,Los Angeles,CA,0,0,0,1
